web_scraper_order,web_scraper_start_url,category,name,price,image,url
"1784116343-10280","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Sparkle Red) 8/128 GB
AI NOVA-0L","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(sparkle-red)-8-128-gb-4683"
"1784116343-10281","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 12GB RAM & 256GB Storage | Blue Color
A069 NOTHING PHONE (4A) 12+256 BLUE","NPR78,999","","https://cgdigital.com.np/product-phone-4a---12gb-ram-&-256gb-storage-%7C-blue-color-4579"
"1784116343-10282","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 12GB RAM & 256GB Storage | Pink Color
A069 NOTHING PHONE (4A) 12+256 PINK","NPR78,999","","https://cgdigital.com.np/product-phone-4a---12gb-ram-&-256gb-storage-%7C-pink-color-4578"
"1784116343-10283","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 8GB RAM & 256GB Storage | White Color
A069 NOTHING PHONE (4A) 8+256 WHITE","NPR71,999","","https://cgdigital.com.np/product-phone-4a---8gb-ram-&-256gb-storage-%7C-white-color-4577"
"1784116343-10284","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 8GB RAM & 256GB Storage | Black Color
A069 NOTHING PHONE (4A) 8+256 BLACK","NPR71,999","","https://cgdigital.com.np/product-phone-4a---8gb-ram-&-256gb-storage-%7C-black-color-4576"
"1784116343-10285","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 8GB RAM & 128GB Storage | Black Color
A069 NOTHING PHONE (4A) 8+128 BLACK","NPR64,999","","https://cgdigital.com.np/product-phone-4a---8gb-ram-&-128gb-storage-%7C-black-color-4574"
"1784116343-10286","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF Watch Pro 3 Pro - Orange
D399 CMF WATCH 3 PRO ORANGE","NPR14,999","","https://cgdigital.com.np/product-watch-pro-3-pro---orange-4541"
"1784116343-10287","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF Watch Pro 3 Pro - Light Grey
D399 CMF WATCH 3 PRO LIGHT GREY","NPR14,999","","https://cgdigital.com.np/product-watch-pro-3-pro---light-grey-4540"
"1784116343-10288","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF Watch Pro 3 Pro - Light Green
D399 CMF WATCH 3 PRO LIGHT GREEN","NPR14,999","","https://cgdigital.com.np/product-watch-pro-3-pro---light-green-4539"
"1784116343-10289","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Ear - Black
B171 NOTHING EAR BLACK","NPR22,999","","https://cgdigital.com.np/product-ear---black-4538"
"1784116343-10290","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Motorola Mobility Moto G96 - 8GB RAM & 256GB Storage | Greener Pastures Color
G96 MOTO XT2531-2 (8+256) GP GREENER PASTURES","NPR44,999","","https://cgdigital.com.np/product-moto-g96---8gb-ram-&-256gb-storage-%7C-greener-pastures-color-4532"
"1784116343-10291","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Motorola Mobility Moto G96 - 8GB RAM & 256GB Storage | Ashleigh Blue Color
G96 MOTO XT2531-2 (8+256) AB ASHLEIGH BLUE","NPR44,999","","https://cgdigital.com.np/product-moto-g96---8gb-ram-&-256gb-storage-%7C-ashleigh-blue-color-4531"
"1784116343-10292","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF BUDs 2 - Dark Grey
B179 CMF BUDS 2 DARK GREY","NPR7,499","","https://cgdigital.com.np/product-buds-2---dark-grey-4526"
"1784116343-10293","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone (3a) Lite - 8GB RAM & 128GB Storage | White Color
A001T NOTHING PHONE (3A) LITE 8+128GB (WHITE)","NPR40,999","","https://cgdigital.com.np/product-phone-(3a)-lite---8gb-ram-&-128gb-storage-%7C-white-color-4523"
"1784116343-10294","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone (3a) Lite - 8GB RAM & 128GB Storage | Black Color
A001T NOTHING PHONE (3A) LITE 8+128GB (BLACK)","NPR40,999","","https://cgdigital.com.np/product-phone-(3a)-lite---8gb-ram-&-128gb-storage-%7C-black-color-4521"
"1784116343-10295","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Sparkle Red) 6/128 GB
AI NOVA-0K","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(sparkle-red)-6-128-gb-4376"
"1784116343-10296","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Sparkle Red) 4/64 GB
AI PULSE-0K","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(sparkle-red)-4-64-gb-4375"
"1784116343-10297","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Pink) 4/64 GB
AI PULSE-0J","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(pink)-4-64-gb-4309"
"1784116343-10298","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Green) 4/64 GB
AI PULSE-0I","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(green)-4-64-gb-4308"
"1784116343-10299","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Purple) 4/64 GB
AI PULSE-0H","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(purple)-4-64-gb-4307"
"1784116343-10300","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Black) 4/64 GB
AI PULSE-0G","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(black)-4-64-gb-4306"
"1784116343-10301","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Blue) 4/64 GB
AI PULSE-0F","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(blue)-4-64-gb-4305"
"1784116343-10302","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Pink) 6/128 GB
AI PULSE-0E","NPR16,499","","https://cgdigital.com.np/product-ai--pulse-(pink)-6-128-gb-4304"
"1784116343-10303","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Green) 6/128 GB
AI PULSE-0D","NPR16,499","","https://cgdigital.com.np/product-ai--pulse-(green)-6-128-gb-4303"
"1784116343-10304","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Purple) 6/128 GB
AI PULSE-0C","NPR16,499","","https://cgdigital.com.np/product-ai--pulse-(purple)-6-128-gb-4302"
"1784116343-10305","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Black) 6/128 GB
AI PULSE-0B","NPR16,499","","https://cgdigital.com.np/product-ai--pulse-(black)-6-128-gb-4301"
"1784116343-10306","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Blue) 6/128 GB
AI PULSE-0A","NPR16,499","","https://cgdigital.com.np/product-ai--pulse-(blue)-6-128-gb-4300"
"1784116343-10307","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Green) 6/128 GB
AI NOVA-0J","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(green)-6-128-gb-4299"
"1784116343-10308","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Purple) 6/128 GB
AI NOVA-0I","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(purple)-6-128-gb-4298"
"1784116343-10309","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Blue) 6/128 GB
AI NOVA-0H","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(blue)-6-128-gb-4297"
"1784116343-10310","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Pink) 6/128 GB
AI NOVA-0G","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(pink)-6-128-gb-4296"
"1784116343-10311","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Black) 6/128 GB
AI NOVA-0F","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(black)-6-128-gb-4295"
"1784116343-10312","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Green) 8/128 GB
AI NOVA-0E","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(green)-8-128-gb-4294"
"1784116343-10313","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Purple) 8/128 GB
AI NOVA-0D","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(purple)-8-128-gb-4293"
"1784116343-10314","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Blue) 8/128 GB
AI NOVA-0C","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(blue)-8-128-gb-4292"
"1784116343-10315","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Pink) 8/128 GB
AI NOVA-0B","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(pink)-8-128-gb-4291"
"1784116343-10316","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF BUDs 2 - Dark Grey
B179 CMF BUDS 2 DARK GREY","NPR7,499","","https://cgdigital.com.np/product-buds-2---dark-grey-4526"
"1784116343-10317","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone (3a) Lite - 8GB RAM & 128GB Storage | White Color
A001T NOTHING PHONE (3A) LITE 8+128GB (WHITE)","NPR40,999","","https://cgdigital.com.np/product-phone-(3a)-lite---8gb-ram-&-128gb-storage-%7C-white-color-4523"
"1784116343-10318","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone (3a) Lite - 8GB RAM & 128GB Storage | Black Color
A001T NOTHING PHONE (3A) LITE 8+128GB (BLACK)","NPR40,999","","https://cgdigital.com.np/product-phone-(3a)-lite---8gb-ram-&-128gb-storage-%7C-black-color-4521"
"1784116343-10319","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Sparkle Red) 6/128 GB
AI NOVA-0K","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(sparkle-red)-6-128-gb-4376"
"1784116343-10320","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Sparkle Red) 4/64 GB
AI PULSE-0K","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(sparkle-red)-4-64-gb-4375"
"1784116343-10321","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Pink) 4/64 GB
AI PULSE-0J","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(pink)-4-64-gb-4309"
"1784116343-10322","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Green) 4/64 GB
AI PULSE-0I","NPR14,999","","https://cgdigital.com.np/product-ai--pulse-(green)-4-64-gb-4308"
